Наименование;Цена
Процессор AMD A8-9600 Bristol Ridge, 4C/4T, 3100MHz TDP-65W SocketAM4 tray (OEM) (AD9600AGM44AB);3750
Процессор AMD Athlon-200GE Raven Ridge, 2C/4T, 3200MHz 4Mb TDP-35W SocketAM4 tray (OEM) (YD200GC6M2OFB);4990
Процессор AMD Athlon-3000G Raven Ridge, 2C/4T, 3500MHz 4Mb TDP-35W SocketAM4 tray (OEM) (YD3000C6M2OFH);4800
Процессор AMD Ryzen 3-2200G Raven Ridge, 4C/4T, 3500MHz 4Mb TDP-65W SocketAM4 BOX (YD2200C5FBBOX);10900
Процессор AMD Ryzen 3-2200G Raven Ridge, 4C/4T, 3500MHz 4Mb TDP-65W SocketAM4 tray (OEM) (YD2200C5M4MFB);9550
Процессор AMD Ryzen 3-3100 Matisse, 4C/8T, 3600MHz 16Mb TDP-65W SocketAM4 tray (OEM) (100-000000284);10100
Процессор AMD Ryzen 3-3200G Picasso, 4C/4T, 3600MHz 4Mb TDP-65W SocketAM4 BOX (YD3200C5FHBOX);12100
Процессор AMD Ryzen 3-3200G Picasso, 4C/4T, 3600MHz 4Mb TDP-65W SocketAM4 tray (OEM) (YD3200C5M4MFH);13000
Процессор AMD Ryzen 3 PRO-3200GE Picasso, 4C/4T, 3300MHz 4Mb TDP-35W SocketAM4 tray (OEM) (YD320BC6M4MFH);9990
Процессор AMD Ryzen 3 PRO-3200G Picasso, 4C/4T, 3600MHz 4Mb TDP-65W SocketAM4 tray (OEM) (YD320BC5M4MFH);10200
Процессор AMD Ryzen 3 PRO-4350G Renoir, 4C/8T, 3800MHz 4Mb TDP-65W SocketAM4 tray (OEM) (100-000000148);16600
Процессор AMD Ryzen 5-1600 AF Pinnacle Ridge, 6C/12T, 3200MHz 16Mb TDP-65W SocketAM4 BOX (кулер Wraith Stealth) (YD1600BBAFBOX);12100
Процессор AMD Ryzen 5-1600 AF Pinnacle Ridge, 6C/12T, 3200MHz 16Mb TDP-65W SocketAM4 tray (OEM) (YD1600BBM6IAF);11700
Процессор AMD Ryzen 5-2400G Raven Ridge, 4C/8T, 3600MHz 4Mb TDP-65W SocketAM4 BOX (YD2400C5FBBOX);15000
Процессор AMD Ryzen 5-2600 Pinnacle Ridge, 6C/12T, 3400MHz 16Mb TDP-65W SocketAM4 BOX (YD2600BBAFBOX);12200
Процессор AMD Ryzen 5-2600 Pinnacle Ridge, 6C/12T, 3400MHz 16Mb TDP-65W SocketAM4 tray (OEM) (YD2600BBM6IAF);11900
Процессор AMD Ryzen 5-2600X Pinnacle Ridge, 6C/12T, 3600MHz 16Mb TDP-95W SocketAM4 BOX (YD260XBCAFBOX);14900
Процессор AMD Ryzen 5-2600X Pinnacle Ridge, 6C/12T, 3600MHz 16Mb TDP-95W SocketAM4 tray (OEM) (YD260XBCM6IAF);13100
Процессор AMD Ryzen 5-3500 Matisse, 6C/6T, 3600MHz 16Mb TDP-65W SocketAM4 tray (OEM) (100-000000050);11900
Процессор AMD Ryzen 5-3500X Matisse, 6C/6T, 3600MHz 32Mb TDP-65W SocketAM4 tray (OEM) (100-000000158);12900
Процессор AMD Ryzen 5-3600 Matisse, 6C/12T, 3600MHz 32Mb TDP-65W SocketAM4 BOX (100-100000031BOX);18300
Процессор AMD Ryzen 5-3600 Matisse, 6C/12T, 3600MHz 32Mb TDP-65W SocketAM4 tray (OEM) (100-000000031);16900
Процессор AMD Ryzen 5-3600X Matisse, 6C/12T, 3800MHz 32Mb TDP-95W SocketAM4 BOX (100-100000022BOX);22900
Процессор AMD Ryzen 5-3600X Matisse, 6C/12T, 3800MHz 32Mb TDP-95W SocketAM4 tray (OEM) (100-000000022);19500
Процессор AMD Ryzen 5-3600XT Matisse, 6C/12T, 3800MHz 32Mb TDP-95W SocketAM4 BOX (100-100000281BOX);24300
Процессор AMD Ryzen 5-5600X Vermeer, 6C/12T, 3700MHz 32Mb TDP-65W SocketAM4 BOX (Совместим с материнскими платами 500-й серии) (100-100000065BOX);28000
Процессор AMD Ryzen 5-5600X Vermeer, 6C/12T, 3700MHz 32Mb TDP-65W SocketAM4 tray (OEM) (Совместим с материнскими платами 500-й серии) (100-000000065);27000
Процессор AMD Ryzen 5 PRO-3350G Picasso, 4C/8T, 4000MHz 4Mb TDP-65W SocketAM4 tray (OEM) (YD3350C5M4MFH);12400
Процессор AMD Ryzen 7-2700X Pinnacle Ridge, 8C/16T, 3700MHz 16Mb TDP-105W SocketAM4 tray (OEM) (YD270XBGM88AF);17900
Процессор AMD Ryzen 7-3700X Matisse, 8C/16T, 3600MHz 32Mb TDP-65W SocketAM4 BOX (100-100000071BOX);30200
Процессор AMD Ryzen 7-3700X Matisse, 8C/16T, 3600MHz 32Mb TDP-65W SocketAM4 tray (OEM) (100-000000071);26500
Процессор AMD Ryzen 7-3800X Matisse, 8C/16T, 3900MHz 32Mb TDP-105W SocketAM4 BOX (100-100000025BOX);39300
Процессор AMD Ryzen 7-3800X Matisse, 8C/16T, 3900MHz 32Mb TDP-105W SocketAM4 tray (OEM) (100-000000025);36500
Процессор AMD Ryzen 7-5800X Vermeer, 8C/16T, 3800MHz 32Mb TDP-105W SocketAM4 BOX (без кулера) (Совместим с материнскими платами 500-й серии) (100-100000063WOF);48900
Процессор AMD Ryzen 7-5800X Vermeer, 8C/16T, 3800MHz 32Mb TDP-105W SocketAM4 tray (OEM) (Совместим с материнскими платами 500-й серии) (100-000000063);52300
Процессор AMD Ryzen 7 PRO-3700 Matisse, 8C/16T, 3600MHz 32Mb TDP-65W SocketAM4 tray (OEM) (100-000000073);24800
Процессор AMD Ryzen 7 PRO-4750G Zen 2, 8C/16T, 3600MHz 8Mb TDP-65W SocketAM4 tray (OEM) (100-100000145MPK);29300
Процессор AMD Ryzen 9-3900X Matisse, 12C/24T, 3800MHz 64Mb TDP-105W SocketAM4 BOX (100-100000023BOX);50800
Процессор AMD Ryzen 9-3950X Matisse, 16C/32T, 3500MHz 64Mb TDP-105W SocketAM4 BOX (без кулера) (100-100000051WOF);71100
Процессор AMD Ryzen 9-5900X Vermeer, 12C/24T, 3700MHz 64Mb TDP-105W SocketAM4 BOX (без кулера) (Совместим с материнскими платами 500-й серии) (100-100000061WOF);60400
Процессор AMD A6-7400K Kaveri, 2C/2T, 3500MHz TDP-65W SocketFM2+ tray (OEM) (AD740KYBI23JA);2250
Процессор AMD A6-7470K Godavari, 2C/2T, 3700MHz TDP-65W SocketFM2+ tray (OEM) (AD747KYBI23JC);2650
Процессор AMD A6-7480 Carrizo, 2C/2T, 3500MHz TDP-65W SocketFM2+ BOX (AD7480ACABBOX);3500
Процессор AMD A6-7480 Carrizo, 2C/2T, 3500MHz TDP-65W SocketFM2+ tray (OEM) (AD7480ACI23AB);2350
Процессор AMD Athlon X4-830 Kaveri, 4C/4T, 3000MHz TDP-65W SocketFM2+ tray (OEM) (AD830XYBI44JA);1350
Процессор AMD Athlon X4-840 Kaveri, 4C/4T, 3100MHz TDP-65W SocketFM2+ tray (OEM) (AD840XYBI44JA);1900
Процессор AMD Ryzen Threadripper-3960X Castle Peak, 24C/48T, 3800MHz 128Mb TDP-280W SocketTRX4 BOX (без кулера) (100-100000010WOF);138800
Процессор AMD Ryzen Threadripper-3970X Castle Peak, 32C/64T, 3700MHz 128Mb TDP-280W SocketTRX4 BOX (без кулера) (100-100000011WOF);214300
Процессор AMD Ryzen Threadripper-3970X Castle Peak, 32C/64T, 3700MHz 128Mb TDP-280W sTRX4 tray (OEM) (100-100000011);202700
